"Kod";"Nazwa";"Miesiące";"Rodzaje towarów i usług";"Cena i wskaźniki";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0000000;"POLSKA";"luty";"szynka wieprzowa gotowana - za 1kg";"cena";"2011";21,48;"zł";"";
0000000;"POLSKA";"luty";"szynka wieprzowa gotowana - za 1kg";"cena";"2012";23,01;"zł";"";
0000000;"POLSKA";"luty";"szynka wieprzowa gotowana - za 1kg";"cena";"2013";23,78;"zł";"";
0000000;"POLSKA";"luty";"szynka wieprzowa gotowana - za 1kg";"cena";"2014";24,47;"zł";"";
0000000;"POLSKA";"luty";"szynka wieprzowa gotowana - za 1kg";"cena";"2015";24,18;"zł";"";
0000000;"POLSKA";"luty";"szynka wieprzowa gotowana - za 1kg";"cena";"2016";24,08;"zł";"";
0000000;"POLSKA";"luty";"szynka wieprzowa gotowana - za 1kg";"cena";"2017";25,16;"zł";"";
0000000;"POLSKA";"luty";"szynka wieprzowa gotowana - za 1kg";"cena";"2018";26,41;"zł";"";
0000000;"POLSKA";"luty";"szynka wieprzowa gotowana - za 1kg";"cena";"2019";26,89;"zł";"";
0000000;"POLSKA";"luty";"jabłka - za 1kg";"cena";"2006";;"zł";"";
0000000;"POLSKA";"luty";"jabłka - za 1kg";"cena";"2007";;"zł";"";
0000000;"POLSKA";"luty";"jabłka - za 1kg";"cena";"2008";;"zł";"";
0000000;"POLSKA";"luty";"jabłka - za 1kg";"cena";"2009";;"zł";"";
0000000;"POLSKA";"luty";"jabłka - za 1kg";"cena";"2010";;"zł";"";
0000000;"POLSKA";"luty";"jabłka - za 1kg";"cena";"2011";;"zł";"";
0000000;"POLSKA";"luty";"jabłka - za 1kg";"cena";"2012";;"zł";"";
0000000;"POLSKA";"luty";"jabłka - za 1kg";"cena";"2013";2,40;"zł";"";
0000000;"POLSKA";"luty";"jabłka - za 1kg";"cena";"2014";2,77;"zł";"";
0000000;"POLSKA";"luty";"jabłka - za 1kg";"cena";"2015";1,98;"zł";"";
0000000;"POLSKA";"luty";"jabłka - za 1kg";"cena";"2016";2,65;"zł";"";
0000000;"POLSKA";"luty";"jabłka - za 1kg";"cena";"2017";2,36;"zł";"";
0000000;"POLSKA";"luty";"jabłka - za 1kg";"cena";"2018";3,71;"zł";"";
0000000;"POLSKA";"luty";"jabłka - za 1kg";"cena";"2019";2,27;"zł";"";
0000000;"POLSKA";"luty";"pomarańcze - za 1kg";"cena";"2006";;"zł";"";
0000000;"POLSKA";"luty";"pomarańcze - za 1kg";"cena";"2007";;"zł";"";
0000000;"POLSKA";"luty";"pomarańcze - za 1kg";"cena";"2008";;"zł";"";
0000000;"POLSKA";"luty";"pomarańcze - za 1kg";"cena";"2009";;"zł";"";
0000000;"POLSKA";"luty";"pomarańcze - za 1kg";"cena";"2010";;"zł";"";
0000000;"POLSKA";"luty";"pomarańcze - za 1kg";"cena";"2011";;"zł";"";
0000000;"POLSKA";"luty";"pomarańcze - za 1kg";"cena";"2012";;"zł";"";
0000000;"POLSKA";"luty";"pomarańcze - za 1kg";"cena";"2013";4,85;"zł";"";
0000000;"POLSKA";"luty";"pomarańcze - za 1kg";"cena";"2014";4,50;"zł";"";
0000000;"POLSKA";"luty";"pomarańcze - za 1kg";"cena";"2015";4,45;"zł";"";
0000000;"POLSKA";"luty";"pomarańcze - za 1kg";"cena";"2016";4,64;"zł";"";
0000000;"POLSKA";"luty";"pomarańcze - za 1kg";"cena";"2017";5,09;"zł";"";
0000000;"POLSKA";"luty";"pomarańcze - za 1kg";"cena";"2018";5,41;"zł";"";
0000000;"POLSKA";"luty";"pomarańcze - za 1kg";"cena";"2019";5,02;"zł";"";
0000000;"POLSKA";"luty";"marchew - za 1 kg";"cena";"2006";1,61;"zł";"";
0000000;"POLSKA";"luty";"marchew - za 1 kg";"cena";"2007";1,64;"zł";"";
0000000;"POLSKA";"luty";"marchew - za 1 kg";"cena";"2008";1,63;"zł";"";
0000000;"POLSKA";"luty";"marchew - za 1 kg";"cena";"2009";1,85;"zł";"";
0000000;"POLSKA";"luty";"marchew - za 1 kg";"cena";"2010";1,78;"zł";"";
0000000;"POLSKA";"luty";"marchew - za 1 kg";"cena";"2011";2,23;"zł";"";
0000000;"POLSKA";"luty";"marchew - za 1 kg";"cena";"2012";1,70;"zł";"";
0000000;"POLSKA";"luty";"marchew - za 1 kg";"cena";"2013";1,73;"zł";"";
0000000;"POLSKA";"luty";"marchew - za 1 kg";"cena";"2014";1,75;"zł";"";
0000000;"POLSKA";"luty";"marchew - za 1 kg";"cena";"2015";1,62;"zł";"";
0000000;"POLSKA";"luty";"marchew - za 1 kg";"cena";"2016";2,42;"zł";"";
0000000;"POLSKA";"luty";"marchew - za 1 kg";"cena";"2017";1,70;"zł";"";
0000000;"POLSKA";"luty";"marchew - za 1 kg";"cena";"2018";2,14;"zł";"";
0000000;"POLSKA";"luty";"marchew - za 1 kg";"cena";"2019";2,91;"zł";"";
0000000;"POLSKA";"luty";"herbata czarna, liściasta - za 100g";"cena";"2006";2,23;"zł";"";
0000000;"POLSKA";"luty";"herbata czarna, liściasta - za 100g";"cena";"2007";2,29;"zł";"";
0000000;"POLSKA";"luty";"herbata czarna, liściasta - za 100g";"cena";"2008";2,60;"zł";"";
0000000;"POLSKA";"luty";"herbata czarna, liściasta - za 100g";"cena";"2009";2,85;"zł";"";
0000000;"POLSKA";"luty";"herbata czarna, liściasta - za 100g";"cena";"2010";3,23;"zł";"";
0000000;"POLSKA";"luty";"herbata czarna, liściasta - za 100g";"cena";"2011";3,38;"zł";"";
0000000;"POLSKA";"luty";"herbata czarna, liściasta - za 100g";"cena";"2012";3,55;"zł";"";
0000000;"POLSKA";"luty";"herbata czarna, liściasta - za 100g";"cena";"2013";3,67;"zł";"";
0000000;"POLSKA";"luty";"herbata czarna, liściasta - za 100g";"cena";"2014";3,82;"zł";"";
0000000;"POLSKA";"luty";"herbata czarna, liściasta - za 100g";"cena";"2015";3,93;"zł";"";
0000000;"POLSKA";"luty";"herbata czarna, liściasta - za 100g";"cena";"2016";4,02;"zł";"";
0000000;"POLSKA";"luty";"herbata czarna, liściasta - za 100g";"cena";"2017";4,16;"zł";"";
0000000;"POLSKA";"luty";"herbata czarna, liściasta - za 100g";"cena";"2018";4,35;"zł";"";
0000000;"POLSKA";"luty";"herbata czarna, liściasta - za 100g";"cena";"2019";7,47;"zł";"";
0000000;"POLSKA";"luty";"koszula męska z elanobawełny, długi rękaw";"cena";"2006";80,50;"zł";"";
0000000;"POLSKA";"luty";"koszula męska z elanobawełny, długi rękaw";"cena";"2007";82,32;"zł";"";
0000000;"POLSKA";"luty";"koszula męska z elanobawełny, długi rękaw";"cena";"2008";84,49;"zł";"";
0000000;"POLSKA";"luty";"koszula męska z elanobawełny, długi rękaw";"cena";"2009";86,73;"zł";"";
0000000;"POLSKA";"luty";"koszula męska z elanobawełny, długi rękaw";"cena";"2010";89,56;"zł";"";
0000000;"POLSKA";"luty";"koszula męska z elanobawełny, długi rękaw";"cena";"2011";84,18;"zł";"";
0000000;"POLSKA";"luty";"koszula męska z elanobawełny, długi rękaw";"cena";"2012";88,44;"zł";"";
0000000;"POLSKA";"luty";"koszula męska z elanobawełny, długi rękaw";"cena";"2013";93,12;"zł";"";
0000000;"POLSKA";"luty";"koszula męska z elanobawełny, długi rękaw";"cena";"2014";93,93;"zł";"";
0000000;"POLSKA";"luty";"koszula męska z elanobawełny, długi rękaw";"cena";"2015";97,64;"zł";"";
0000000;"POLSKA";"luty";"koszula męska z elanobawełny, długi rękaw";"cena";"2016";99,35;"zł";"";
0000000;"POLSKA";"luty";"koszula męska z elanobawełny, długi rękaw";"cena";"2017";100,87;"zł";"";
0000000;"POLSKA";"luty";"koszula męska z elanobawełny, długi rękaw";"cena";"2018";102,56;"zł";"";
0000000;"POLSKA";"luty";"koszula męska z elanobawełny, długi rękaw";"cena";"2019";104,11;"zł";"";
0000000;"POLSKA";"luty";"rajstopy damskie gładkie, 15 den";"cena";"2006";;"zł";"";
0000000;"POLSKA";"luty";"rajstopy damskie gładkie, 15 den";"cena";"2007";;"zł";"";
0000000;"POLSKA";"luty";"rajstopy damskie gładkie, 15 den";"cena";"2008";;"zł";"";
0000000;"POLSKA";"luty";"rajstopy damskie gładkie, 15 den";"cena";"2009";;"zł";"";
0000000;"POLSKA";"luty";"rajstopy damskie gładkie, 15 den";"cena";"2010";;"zł";"";
0000000;"POLSKA";"luty";"rajstopy damskie gładkie, 15 den";"cena";"2011";;"zł";"";
0000000;"POLSKA";"luty";"rajstopy damskie gładkie, 15 den";"cena";"2012";6,56;"zł";"";
0000000;"POLSKA";"luty";"rajstopy damskie gładkie, 15 den";"cena";"2013";6,66;"zł";"";
0000000;"POLSKA";"luty";"rajstopy damskie gładkie, 15 den";"cena";"2014";6,90;"zł";"";
0000000;"POLSKA";"luty";"rajstopy damskie gładkie, 15 den";"cena";"2015";6,81;"zł";"";
0000000;"POLSKA";"luty";"rajstopy damskie gładkie, 15 den";"cena";"2016";7,00;"zł";"";
0000000;"POLSKA";"luty";"rajstopy damskie gładkie, 15 den";"cena";"2017";6,91;"zł";"";
0000000;"POLSKA";"luty";"rajstopy damskie gładkie, 15 den";"cena";"2018";7,07;"zł";"";
0000000;"POLSKA";"luty";"rajstopy damskie gładkie, 15 den";"cena";"2019";7,20;"zł";"";
0000000;"POLSKA";"luty";"bateria zlewozmywakowa";"cena";"2006";96,53;"zł";"";
0000000;"POLSKA";"luty";"bateria zlewozmywakowa";"cena";"2007";106,04;"zł";"";
0000000;"POLSKA";"luty";"bateria zlewozmywakowa";"cena";"2008";115,58;"zł";"";
0000000;"POLSKA";"luty";"bateria zlewozmywakowa";"cena";"2009";122,81;"zł";"";
0000000;"POLSKA";"luty";"bateria zlewozmywakowa";"cena";"2010";134,05;"zł";"";
0000000;"POLSKA";"luty";"bateria zlewozmywakowa";"cena";"2011";134,82;"zł";"";
0000000;"POLSKA";"luty";"bateria zlewozmywakowa";"cena";"2012";141,46;"zł";"";
0000000;"POLSKA";"luty";"bateria zlewozmywakowa";"cena";"2013";149,68;"zł";"";
0000000;"POLSKA";"luty";"bateria zlewozmywakowa";"cena";"2014";150,53;"zł";"";
0000000;"POLSKA";"luty";"bateria zlewozmywakowa";"cena";"2015";150,47;"zł";"";
0000000;"POLSKA";"luty";"bateria zlewozmywakowa";"cena";"2016";150,75;"zł";"";
0000000;"POLSKA";"luty";"bateria zlewozmywakowa";"cena";"2017";153,05;"zł";"";
0000000;"POLSKA";"luty";"bateria zlewozmywakowa";"cena";"2018";155,86;"zł";"";
0000000;"POLSKA";"luty";"bateria zlewozmywakowa";"cena";"2019";163,65;"zł";"";
0000000;"POLSKA";"luty";"węgiel kamienny - za 1t";"cena";"2006";483,25;"zł";"";
0000000;"POLSKA";"luty";"węgiel kamienny - za 1t";"cena";"2007";520,06;"zł";"";
0000000;"POLSKA";"luty";"węgiel kamienny - za 1t";"cena";"2008";568,55;"zł";"";
0000000;"POLSKA";"luty";"węgiel kamienny - za 1t";"cena";"2009";709,12;"zł";"";
0000000;"POLSKA";"luty";"węgiel kamienny - za 1t";"cena";"2010";716,35;"zł";"";
0000000;"POLSKA";"luty";"węgiel kamienny - za 1t";"cena";"2011";767,47;"zł";"";
0000000;"POLSKA";"luty";"węgiel kamienny - za 1t";"cena";"2012";822,02;"zł";"";
0000000;"POLSKA";"luty";"węgiel kamienny - za 1t";"cena";"2013";818,41;"zł";"";
0000000;"POLSKA";"luty";"węgiel kamienny - za 1t";"cena";"2014";818,60;"zł";"";
0000000;"POLSKA";"luty";"węgiel kamienny - za 1t";"cena";"2015";797,59;"zł";"";
0000000;"POLSKA";"luty";"węgiel kamienny - za 1t";"cena";"2016";788,14;"zł";"";
0000000;"POLSKA";"luty";"węgiel kamienny - za 1t";"cena";"2017";798,36;"zł";"";
0000000;"POLSKA";"luty";"węgiel kamienny - za 1t";"cena";"2018";891,04;"zł";"";
0000000;"POLSKA";"luty";"węgiel kamienny - za 1t";"cena";"2019";894,20;"zł";"";
0000000;"POLSKA";"luty";"gazeta regionalna";"cena";"2006";;"zł";"";
0000000;"POLSKA";"luty";"gazeta regionalna";"cena";"2007";;"zł";"";
0000000;"POLSKA";"luty";"gazeta regionalna";"cena";"2008";;"zł";"";
0000000;"POLSKA";"luty";"gazeta regionalna";"cena";"2009";;"zł";"";
0000000;"POLSKA";"luty";"gazeta regionalna";"cena";"2010";;"zł";"";
0000000;"POLSKA";"luty";"gazeta regionalna";"cena";"2011";;"zł";"";
0000000;"POLSKA";"luty";"gazeta regionalna";"cena";"2012";;"zł";"";
